id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
5589,3,3,1,0,0,0,90,9,8,10,10,10,9,4,1,1,4,Apartment,4,1,1,3,150,10,1,8,80,9,0.7,1002,4,384,80,28,11,3,7,1,,4,3,19,0.04,0.6048,0.1755,0.053,0.0253,3.3638,0.0257,0.4059,0.3382,0.2034,114.37,114.37,91,91,126,126,4,2,14
6165,3,2,0,0,0,0,99,10,10,10,10,9,10,2,1,0,3,Townhouse,1,2,1,1,100,70,1,8,21,10,0.2,1000,4,499,141,9,2,1,12,1,,,,7,0.2135,1.3705,0.899,0.6533,0.2285,4.9152,0.3941,0.3612,0.4535,0.3583,60,60,60,60,60,60,3,2,11
8882,0,2,0,0,0,1,93,10,10,10,10,10,10,4,1,0,4,Bed and breakfast,2,2,1,1,,,2,0,337,10,2.93,1000,4,500,1000,28,8,9,3,,3,2,4,23,0.0871,0.4235,0.2641,0.1487,0.045,3.8006,0.0846,0.0177,0.5037,0.045,105.51,105.51,79,79,118,118,4,3,12
8919,0,2,0,0,0,0,93,9,9,10,10,9,9,2,1,0,2,House,2,2,1,1,500,,1,10,49,9,0.42,592,4,,,21,3,10,50,,3,,1,22,0.1151,0.0927,0.5486,0.4009,0.026,1.965,0.0257,0.0167,1.116,0.026,45,45,45,45,45,45,4,1,5
9097,0,1,0,0,0,0,97,10,9,10,10,10,10,4,1,1,4,Apartment,1,1,1,1,0,0,1,0,99,10,0.87,1002,4,234,80,26,12,3,7,1,,3,3,17,0.0911,0.6248,0.2081,0.0688,0.0776,3.4356,0.0695,0.4357,0.2978,0.1235,42.05,42.05,42,42,47,47,4,3,13
9641,3,3,0,0,0,0,95,10,10,10,10,10,10,3,1,0,4,Loft,4,1,1,1,0,125,2,75,133,10,1.23,1000,4,251,,32,15,9,2,,3,9,3,26,0.0822,0.4206,0.1571,0.2586,0.1005,2.8834,0.1004,0.3971,0.5118,0.1005,196.48,196.48,155,155,286,286,4,3,12
11785,0,3,1,0,0,0,92,9,9,10,10,10,9,4,1,0,3,Apartment,6,1,1,3,0,75,4,35,333,9,3.01,1000,4,,1000,1,2,3,,1,,,2,10,0.3919,1.0806,0.7986,0.2406,0.0292,5.3237,0.157,1.9646,0.2344,0.0292,135,135,125,125,185,185,4,3,12
12442,0,2,0,0,0,0,93,10,10,10,10,10,9,4,1,0,3,House,2,2,1,1,0,20,1,25,55,9,0.51,1000,4,,1000,1,2,3,,1,,,2,12,0.3534,1.0476,0.8353,0.2362,0.0752,5.2297,0.0877,1.8952,0.2645,0.0752,69.27,69.27,69,69,89,89,4,3,12
13744,0,3,1,0,0,0,97,10,10,10,10,10,10,3,1,0,1,Apartment,4,1,1,2,0,0,2,0,21,10,0.2,1000,4,302,142,60,13,21,40,1,3,2,6,44,0.082,0.0863,0.343,0.2391,0.1021,3.333,0.1025,0.0732,0.1638,0.1021,125,125,125,125,125,125,4,2,14
13824,4,3,1,0,0,0,98,10,10,10,10,10,10,4,1,1,1,Guest suite,4,1,0,2,,15,4,25,137,10,1.23,1000,4,249,171,6,1,1,4,1,,,,7,0.2881,1.5823,0.7618,0.5422,0.2303,5.1673,0.2706,0.4115,0.3481,0.2367,99.13,99.13,80,80,110,110,3,2,11
14218,0,2,0,0,0,0,94,10,9,10,10,10,9,4,1,0,3,House,2,2,1,1,0,20,1,25,74,9,0.78,1000,4,,1000,1,2,3,,1,,,2,12,0.3036,1.1306,0.7504,0.3061,0.0947,5.289,0.0856,1.9785,0.1792,0.0947,69.27,69.27,69,69,89,89,4,3,12
14570,0,2,1,0,0,0,97,10,10,10,10,10,10,2,1,1,1,Apartment,3,1,1,2,175,35,1,15,530,10,4.82,1008,4,181,1000,32,22,19,12,2,14,7,8,44,0.0976,0.2422,0.2249,0.2307,0.0956,2.2153,0.0955,0.2688,0.3545,0.0956,79,79,79,79,79,79,3,2,11
16641,3,3,0,0,0,0,94,9,10,10,10,10,9,3,1,0,4,Apartment,3,1,1,1,600,125,2,35,62,9,0.58,1000,4,359,,16,13,3,,,3,8,3,14,0.0816,0.1969,0.104,0.2841,0.0334,3.3931,0.0615,0.7563,0.7565,0.2247,169.32,169.32,150,150,300,300,4,2,14
16684,4,3,1,0,0,0,98,10,10,10,10,10,10,3,1,1,3,Guest suite,2,1,1,1,0,120,2,0,166,10,1.5,1000,4,273,295,17,12,4,,,3,3,,19,0.1213,0.2928,0.3458,0.5962,0.1337,0.8288,0.1102,0.5335,0.718,0.2971,92.95,92.95,89,89,93,93,3,4,14
