id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_summary,len_rules,NearbyArson,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
12442,0,2,0,0,0,0,93,10,10,10,10,10,9,4,1,0,3,2,2,1,1,0,0,20,1,25,55,9,0.51,1000,0,1000,0,1,2,3,0,1,0,0,2,12,0.35,1.05,0.84,0.24,0.08,5.23,0.09,1.9,0.26,0.08,69.27,69.27,69,69,89,89,4,3,12
13744,0,3,1,0,0,0,97,10,10,10,10,10,10,3,1,0,1,4,1,1,2,0,0,0,2,0,21,10,0.2,1000,302,142,0,60,13,21,40,1,3,2,6,44,0.08,0.09,0.34,0.24,0.1,3.33,0.1,0.07,0.16,0.1,125,125,125,125,125,125,4,2,14
13824,4,3,1,0,0,0,98,10,10,10,10,10,10,4,1,1,1,4,1,0,2,0,0,15,4,25,137,10,1.23,1000,249,171,0,6,1,1,4,1,0,0,0,7,0.29,1.58,0.76,0.54,0.23,5.17,0.27,0.41,0.35,0.24,99.13,99.13,80,80,110,110,3,2,11
14218,0,2,0,0,0,0,94,10,9,10,10,10,9,4,1,0,3,2,2,1,1,0,0,20,1,25,74,9,0.78,1000,0,1000,0,1,2,3,0,1,0,0,2,12,0.3,1.13,0.75,0.31,0.09,5.29,0.09,1.98,0.18,0.09,69.27,69.27,69,69,89,89,4,3,12
14570,0,2,1,0,0,0,97,10,10,10,10,10,10,2,1,1,1,3,1,1,2,0,175,35,1,15,530,10,4.82,1008,181,1000,0,32,22,19,12,2,14,7,8,44,0.1,0.24,0.22,0.23,0.1,2.22,0.1,0.27,0.35,0.1,79,79,79,79,79,79,3,2,11
16641,3,3,0,0,0,0,94,9,10,10,10,10,9,3,1,0,4,3,1,1,1,0,600,125,2,35,62,9,0.58,1000,359,0,0,16,13,3,0,0,3,8,3,14,0.08,0.2,0.1,0.28,0.03,3.39,0.06,0.76,0.76,0.22,169.32,169.32,150,150,300,300,4,2,14
16684,4,3,1,0,0,0,98,10,10,10,10,10,10,3,1,1,3,2,1,1,1,0,0,120,2,0,166,10,1.5,1000,273,295,0,17,12,4,0,0,3,3,0,19,0.12,0.29,0.35,0.6,0.13,0.83,0.11,0.53,0.72,0.3,92.95,92.95,89,89,93,93,3,4,14
17377,1,3,1,1,0,0,80,6,10,10,8,8,6,1,0.26,0,100,3,1,1,1,0,0,150,2,0,1,6,0.02,1000,0,10,0,37,16,58,33,3,11,8,6,111,0.08,0.27,0.21,0.08,0.08,1.69,0.08,0.24,0.27,0.08,249,249,249,249,249,249,4,4,13
17380,1,3,1,1,0,0,90,10,10,10,10,10,8,1,0.26,0,100,4,2,2,2,1002,0,150,4,0,2,8,0.02,1000,399,980,0,26,21,20,1,1,8,6,5,42,0.03,0.36,0.16,0.13,0.07,2.57,0.13,0.38,0.34,0.07,309,309,309,309,309,309,4,3,14
20067,0,2,0,0,0,0,95,10,9,10,10,10,9,4,1,1,1,2,1,1,1,250,0,25,1,47,84,9,0.78,1000,495,154,0,3,2,3,0,0,0,0,2,11,0.18,0.83,0.85,0.47,0.3,4.83,0.35,1.59,0.6,0.46,71.8,71.8,61,61,79,79,3,3,10
20832,1,3,0,1,0,0,91,9,10,9,9,10,9,1,0.26,0,100,4,2,2,2,0,0,150,1,0,29,9,0.31,1000,78,694,0,19,23,19,0,1,17,7,5,41,0.04,0.13,0.11,0.24,0.06,2.46,0.1,0.75,0.47,0.06,349,349,349,349,349,349,4,3,17
22453,4,1,0,0,0,0,96,10,10,10,9,10,9,3,1,0,4,1,1,1,1,0,0,0,1,0,87,9,0.8,1000,463,75,0,32,18,14,1,1,4,8,7,33,0.04,0.46,0.08,0.31,0.11,2.75,0.09,0.33,0.4,0.17,92.07,92.07,85,85,190,190,4,3,12
23385,1,3,1,0,0,0,84,9,8,9,9,9,8,1,0.26,0,100,4,2,2,2,0,0,150,1,0,5,8,0.05,1000,134,751,0,26,13,35,0,0,11,20,3,71,0.07,0.16,0.04,0.12,0.12,1.72,0.24,0.66,0.83,0.12,359,359,359,359,359,359,4,4,17
23855,1,3,1,1,0,0,91,9,10,8,8,10,9,1,0.26,0,100,4,2,2,2,0,0,0,4,0,8,9,0.08,1000,0,0,0,11,16,4,0,0,2,4,4,16,0.08,0.33,0.39,0.22,0.1,3.57,0.02,1.3,0.74,0.36,279,279,279,279,279,279,4,4,12
24134,0,2,1,0,0,0,85,9,10,10,9,9,9,4,1,0,17,1,1,1,1,0,100,20,1,20,280,9,6.87,1002,498,1000,0,28,9,11,36,1,0,0,3,27,0.16,0.58,0.78,0.27,0.04,1.8,0.12,0.11,0.42,0.12,33.61,33.61,25,25,38,38,3,1,7
24712,0,3,1,1,0,0,85,9,9,9,8,9,9,3,1,0,2,16,4,4,6,0,500,155,8,25,103,9,1.14,1000,0,985,0,18,3,13,30,2,0,0,2,28,0.18,0.61,0.69,0.17,0.06,4.03,0.15,0.07,0.13,0.06,315.3,315.3,80,80,425,425,4,5,13
24720,0,3,1,0,0,1,67,7,10,10,9,7,7,4,1,0,1,9,3,3,5,1700,250,145,6,10,3,7,0.05,1000,226,39,0,24,4,11,57,2,0,0,0,25,0.15,1.02,1.04,0.53,0.04,4.53,0.1,0.03,0.22,0.12,211.71,211.71,185,185,229,229,4,3,9
25185,0,3,1,0,0,0,100,10,10,10,10,10,10,4,1,1,1,4,1,1,2,670,200,100,1,0,14,10,0.41,1005,201,98,0,16,10,3,0,1,2,1,2,12,0.12,0.37,0.45,0.21,0.15,3.69,0.2,0.62,0.41,0.15,154.42,154.42,149,149,159,159,4,3,13
25243,4,3,1,0,0,0,94,10,9,9,10,10,9,4,1,0,2,8,2,3,5,1600,200,175,6,179,21,9,0.42,1004,229,37,0,8,9,5,19,0,8,4,0,13,0.13,0.21,0.18,0.63,0.1,1.86,0.13,0.17,1.26,0.26,379,379,379,379,379,379,4,3,13
25366,0,3,1,0,0,1,93,10,9,10,10,10,10,4,1,1,5,11,2,3,3,0,350,150,6,24,123,10,1.2,1004,500,1000,0,14,13,15,20,2,4,3,5,34,0.11,0.21,0.29,0.28,0.11,2.24,0.09,0.14,0.19,0.11,375.89,375.89,155,155,417,417,4,1,11
25721,1,3,1,0,0,0,80,8,7,8,5,9,6,1,0.26,0,100,3,1,1,1,700,0,0,1,0,3,6,0.03,1002,330,0,0,51,12,8,47,2,4,3,3,31,0.04,0.34,0.38,0.07,0.12,3,0.03,0.05,0.39,0.12,229,229,229,229,229,229,4,3,11
25838,1,3,1,1,0,0,87,9,10,9,9,9,8,1,0.26,0,100,4,2,2,2,1000,0,150,1,0,10,8,0.11,1000,102,0,0,39,16,56,12,1,14,13,6,110,0.12,0.16,0.1,0.19,0.03,1.67,0.08,0.32,0.44,0.03,299,299,299,299,299,299,4,3,11
26147,0,2,0,0,0,0,90,9,9,10,9,9,9,2,1,0,3,1,2,1,1,0,100,70,1,10,9,9,0.08,1000,188,73,0,8,3,1,15,0,0,0,0,7,0.28,1.26,0.97,0.62,0.25,4.8,0.43,0.31,0.54,0.46,44.81,44.81,41,41,55,55,3,2,11
26409,0,2,0,0,0,0,92,10,10,10,10,10,10,4,1,0,4,2,2,1,1,0,0,0,2,0,302,10,2.83,1000,496,1000,0,22,5,8,3,0,1,1,4,20,0.13,0.49,0.31,0.19,0.1,3.87,0.15,0.09,0.57,0.11,82.95,82.95,69,69,90,90,4,3,11
28204,1,3,1,1,0,0,85,9,9,10,10,9,9,1,0.26,0,100,12,2,5,9,0,0,300,10,25,14,9,0.14,1000,171,332,0,18,4,6,26,0,0,0,2,17,0.15,0.81,0.97,0.22,0.08,4.34,0.17,0.01,0.52,0.17,489.3,489.3,489,489,495,495,4,3,12
29880,1,3,1,1,0,0,88,10,9,10,10,10,9,1,0.26,0,100,2,2,1,1,0,0,150,1,0,8,9,0.09,1000,165,921,0,11,8,3,0,0,0,4,2,8,0.29,0.51,0.29,0.46,0.11,3.69,0.16,0.85,0.7,0.11,179,179,179,179,179,179,4,3,12
32087,0,2,0,0,0,0,96,10,10,10,10,10,10,0,0,0,2,2,1,1,1,5300,0,0,1,0,13,10,0.14,1000,232,168,0,14,12,3,0,0,2,7,2,13,0.15,0.43,0.22,0.36,0.1,3.53,0.05,0.71,0.61,0.1,249,249,249,249,249,249,4,3,13
32584,3,3,1,0,0,0,94,10,9,10,10,10,9,4,1,0,3,4,1,1,2,0,0,60,2,15,556,9,5.28,1000,495,814,0,24,11,8,38,2,7,1,2,22,0.12,0.14,0.43,0.32,0.1,2.14,0.09,0.05,0.25,0.1,149.07,149.07,109,109,283,283,3,2,11
33081,0,2,1,0,0,0,95,9,10,10,10,8,9,3,1,0,3,2,1,1,2,0,200,100,1,25,5,9,0.05,1000,199,476,0,29,1,12,130,5,4,0,2,25,0.28,0.46,1.54,0.45,0.12,2.07,0.12,0.05,0.23,0.12,51,51,51,51,51,51,4,4,15
33534,4,3,0,0,0,0,98,10,10,10,10,10,10,4,1,0,1,6,2,3,3,2000,0,90,2,35,9,10,0.09,1000,405,257,0,31,10,11,29,1,0,1,1,26,0.16,0.68,0.29,0.15,0.07,0.58,0.05,0.09,0.44,0.14,120.22,120.22,71,71,157,157,4,3,12
34000,1,3,0,1,0,0,100,8,10,10,10,10,8,1,0.26,0,100,2,1,0,1,0,0,150,1,0,1,8,0.02,1000,0,62,0,10,11,3,0,0,2,5,3,12,0.09,0.43,0.32,0.31,0.11,3.65,0.11,1.34,0.81,0.42,239,239,239,239,239,239,4,4,11
34180,1,3,1,0,0,0,100,8,10,10,9,10,8,1,0.26,0,100,3,1,1,1,0,0,0,1,0,3,8,0.03,1000,0,10,0,37,17,57,27,2,11,8,6,112,0.07,0.25,0.19,0.1,0.05,1.68,0.05,0.24,0.31,0.05,249,249,249,249,249,249,4,4,13
37115,1,3,1,1,0,0,93,9,10,10,9,9,9,1,0.26,0,100,5,2,2,2,0,0,100,1,0,7,9,0.09,1000,0,21,0,38,16,59,31,3,11,8,6,112,0.08,0.27,0.21,0.08,0.08,1.69,0.08,0.24,0.28,0.08,329,329,329,329,329,329,4,4,15
47275,1,2,1,1,0,0,90,10,10,9,9,10,8,1,0.26,0,100,3,1,1,1,0,0,150,1,0,8,8,0.08,1000,0,921,0,22,25,18,0,1,18,10,5,42,0.05,0.06,0.2,0.17,0.08,2.57,0.11,0.77,0.35,0.08,279,279,279,279,279,279,4,3,15
48823,1,3,1,1,0,0,100,10,10,10,10,9,9,1,0.26,0,100,2,1,1,1,1000,0,0,1,0,2,9,0.02,1001,305,921,0,10,12,2,0,0,2,6,3,9,0.08,0.44,0.31,0.3,0.14,3.63,0.13,1.31,0.79,0.45,285,285,285,285,285,285,4,3,14
52092,0,3,0,0,0,0,86,9,9,10,10,10,9,4,0.97,0,6,6,1,2,3,800,400,95,5,25,156,9,1.53,1000,453,86,0,15,15,12,28,2,6,2,4,27,0.07,0.22,0.37,0.27,0.03,2.2,0.06,0.1,0.13,0.03,115.42,115.42,67,67,140,140,4,2,10
54112,3,3,0,0,0,0,97,10,10,10,10,10,9,2,1,1,1,2,1,1,1,0,0,100,1,0,133,9,1.32,1000,355,0,0,27,15,8,3,0,3,8,5,27,0.1,0.47,0.15,0.24,0.15,2.82,0.15,0.33,0.55,0.15,195,195,195,195,195,195,4,2,12
54345,1,3,0,1,0,0,80,8,9,9,8,8,7,1,0.26,0,100,2,1,1,1,0,0,150,1,0,2,7,0.04,1000,112,0,0,13,13,1,0,0,5,6,3,10,0.06,0.46,0.32,0.28,0.12,3.59,0.12,1.26,0.75,0.48,298,298,298,298,298,298,4,3,13
56976,0,2,0,0,0,1,92,10,10,10,10,10,10,4,1,0,4,2,2,1,1,0,0,0,2,25,328,10,3.4,1000,496,1000,0,30,7,11,4,0,3,2,4,25,0.05,0.43,0.24,0.12,0.06,3.81,0.08,0.06,0.51,0.09,74.79,74.79,63,63,81,81,4,3,12
56981,0,2,0,0,0,0,92,9,9,10,10,9,9,4,1,0,4,2,2,1,1,0,0,0,2,25,292,9,2.93,1000,488,1000,0,22,6,11,4,0,0,1,4,22,0.12,0.5,0.26,0.16,0.01,3.9,0.17,0.16,0.6,0.15,95.8,95.8,72,72,106,106,4,3,11
